employee_id,course_id_x,course_title,Normalized_Performance_Score,Min_Normalized_Performance_Score,Assigned_Courses
EMP001,C15,C15 - Ethical Hacking Techniques,0.2596142558240872,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C07,C07 - Deep Learning with TensorFlow,0.4236621759175574,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C09,C09 - Cybersecurity Fundamentals,0.008539373690888589,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C01,C01 - User Research and Testing Methods,0.2648573625768611,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C12,C12 - Prototyping with Figma,0.2061060971846109,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C10,C10 - Machine Learning Fundamentals,0.10380321927776068,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C14,C14 - Network Security and Firewalls,0.5599344212552001,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C13,C13 - Data Pipeline Development,0.0818127058831454,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C05,C05 - Cloud Data Warehousing Solutions,0.6548157559013442,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C06,C06 - Continuous Integration and Continuous Deployment (CI/CD),0.08768539152827946,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP001,C11,C11 - iOS App Development with Swift,0.007042506963732802,0.007042506963732802,['C11 - iOS App Development with Swift']
EMP002,C01,C01 - User Research and Testing Methods,0.1221293309466371,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C03,C03 - Full-Stack Web Development,0.6482673127961807,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C07,C07 - Deep Learning with TensorFlow,0.2746038130899829,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C05,C05 - Cloud Data Warehousing Solutions,0.09189633071038704,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C11,C11 - iOS App Development with Swift,0.10841167373920857,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C12,C12 - Prototyping with Figma,0.3704989670897199,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C13,C13 - Data Pipeline Development,0.08977449125336243,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C14,C14 - Network Security and Firewalls,0.13188930020136425,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C09,C09 - Cybersecurity Fundamentals,0.21907624819805352,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C15,C15 - Ethical Hacking Techniques,0.1682660820029578,0.08977449125336243,['C13 - Data Pipeline Development']
EMP002,C02,C02 - Responsive Web Design Principles,0.29476923850974834,0.08977449125336243,['C13 - Data Pipeline Development']
EMP003,C07,C07 - Deep Learning with TensorFlow,0.09631629256381066,0.00030663152065356933,['C09 - Cybersecurity Fundamentals']
EMP003,C13,C13 - Data Pipeline Development,0.05042154234496813,0.00030663152065356933,['C09 - Cybersecurity Fundamentals']
EMP003,C08,C08 - Automation Testing with Selenium,0.29808924580180796,0.00030663152065356933,['C09 - Cybersecurity Fundamentals']
EMP003,C09,C09 - Cybersecurity Fundamentals,0.00030663152065356933,0.00030663152065356933,['C09 - Cybersecurity Fundamentals']
EMP003,C01,C01 - User Research and Testing Methods,0.3615136674756494,0.00030663152065356933,['C09 - Cybersecurity Fundamentals']
