employee_id,Average_Completion_Rate
EMP001,49.88698794866607
EMP002,58.42377209113803
EMP003,57.02081324544086
EMP004,53.302044088139546
EMP005,57.438396033344
EMP006,53.497382205370094
EMP007,52.61955480325011
EMP008,54.45491711278501
EMP009,46.592975159228196
EMP010,51.56865067885149
EMP011,47.38096335596232
EMP012,53.65045177527502
EMP013,55.10354487750757
EMP014,54.87796451090525
EMP015,57.9418851391676
EMP016,61.18804270152816
EMP017,46.627767676757244
EMP018,45.44306619570742
EMP019,48.40345843864039
EMP020,58.829052578694636
EMP021,64.0876078429787
EMP022,59.96035053794117
EMP023,42.25356262873905
EMP024,44.36596414011531
EMP025,42.82072849601856
EMP026,41.027191491502954
EMP027,64.8064893682614
EMP028,45.795263062778446
EMP029,50.7745391635419
EMP030,50.54324216485075
EMP031,48.966293239046294
EMP032,56.112405996909864
EMP033,49.234560410421174
EMP034,42.47809923599073
EMP035,52.108152485469084
EMP036,63.39389079125305
EMP037,56.21899112968438
EMP038,52.25469501639542
EMP039,60.149161755027855
EMP040,50.230997839458254
EMP041,51.791770429887926
EMP042,57.41380416000202
EMP043,49.62334434099689
EMP044,57.3187613611206
EMP045,50.02868922403554
EMP046,61.44128595791944
EMP047,51.78234348848331
EMP048,52.00515243775287
EMP049,40.796209931697966
EMP050,74.54601007551828
EMP051,62.499064024620196
EMP052,52.69544378633676
EMP053,39.211355693039444
EMP054,50.88664458737649
EMP055,63.098031042088024
EMP056,48.5901890387181
EMP057,74.33415794261278
EMP058,49.86333459303189
EMP059,62.27896136466374
EMP060,44.062028609648905
EMP061,48.83368241325733
EMP062,53.114481123048414
EMP063,56.736765248684726
EMP064,59.976031369554654
EMP065,59.16092217931084
EMP066,51.862939180194715
EMP067,53.73528378009987
EMP068,55.111436403022104
EMP069,47.630145632184956
EMP070,43.01138463271545
EMP071,55.10716570494993
EMP072,63.07011481817977
EMP073,48.441501860709444
EMP074,62.59293210883208
EMP075,46.543841340606185
EMP076,49.59846029394073
EMP077,62.46380570361685
EMP078,44.717896601406665
EMP079,52.473997468797485
EMP080,44.500447701837324
EMP081,52.05403095294308
EMP082,47.940176715251376
EMP083,56.892305083493646
EMP084,56.467262098361225
EMP085,53.68726190640779
EMP086,53.518142403076325
EMP087,58.97944530361857
EMP088,62.99913091658893
EMP089,66.76424463604286
EMP090,59.78978234362932
EMP091,63.48717620915331
EMP092,52.05855200867039
EMP093,43.70594935204364
EMP094,59.21769237321064
EMP095,50.76319444456787
EMP096,59.733284372040664
EMP097,44.51803465827924
EMP098,49.47432366347754
EMP099,46.57909122373091
EMP100,43.017019045018046
EMP101,44.97237925553429
EMP102,54.77038277524275
EMP103,55.392590817010756
EMP104,54.94194388066535
EMP105,48.55524173332089
EMP106,44.839364112278616
EMP107,56.318591629753584
EMP108,52.736288149255905
EMP109,50.70591506624824
EMP110,78.25838840572574
EMP111,46.178718946331024
EMP112,59.13286176111402
EMP113,51.96072304792879
EMP114,62.929739106420165
EMP115,68.65935877732862
EMP116,55.315815075427736
EMP117,29.1288900661102
EMP118,53.20444089564639
EMP119,57.50562326070352
EMP120,69.72608804990676
EMP121,48.29306425176165
EMP122,44.60375234655305
EMP123,39.11274537755382
EMP124,64.01485996993037
EMP125,48.666149677226045
EMP126,40.94771781300882
EMP127,47.45300464044928
EMP128,56.2528346012614
EMP129,45.20618951594808
EMP130,61.95372366882066
EMP131,54.99888340018352
EMP132,42.62835922774718
EMP133,46.380482266066416
EMP134,63.86743877179776
EMP135,52.84314460442569
EMP136,54.30236336154985
EMP137,50.57565148720737
EMP138,62.24025683323984
EMP139,45.44405104236825
EMP140,53.6314430917072
EMP141,46.972930255813985
EMP142,55.912875441243976
EMP143,55.22649632329558
EMP144,52.6473493172227
EMP145,58.420862347195985
EMP146,59.958125863161236
EMP147,48.69856729261025
EMP148,41.13775383711551
EMP149,48.99004315765182
EMP150,65.93237126477347
EMP151,50.080088668189276
EMP152,63.72871137423528
EMP153,48.46046517152727
EMP154,50.781810084692594
EMP155,55.05284117057842
EMP156,59.240703848306794
EMP157,47.984895080248684
EMP158,42.79817280055467
EMP159,65.71327441874215
EMP160,49.17840792265724
EMP161,50.375061461955895
EMP162,51.77449286018725
EMP163,56.94600525970869
EMP164,53.68866373511389
EMP165,55.493468195382384
EMP166,50.96928848391293
EMP167,47.582738879155904
EMP168,46.568879375709244
EMP169,43.149823316567854
EMP170,62.69074039214761
EMP171,61.81449971446763
EMP172,48.5431648530746
EMP173,42.887298388259424
EMP174,53.6080252908475
EMP175,45.13774682743827
EMP176,42.39336851409182
EMP177,54.709897242198856
EMP178,41.46615238797334
EMP179,49.23068613578642
EMP180,60.31249091580827
EMP181,61.4795317104073
EMP182,45.86636743352353
EMP183,67.3425027858482
EMP184,40.51350414005633
EMP185,61.34021327286726
EMP186,47.58864248708552
EMP187,45.8529249054341
EMP188,44.41395626592767
EMP189,44.481500690309694
EMP190,52.21104354754053
EMP191,49.29507510507394
EMP192,56.50173775568897
EMP193,62.643322456188805
EMP194,48.04270387571045
EMP195,60.791503889380444
EMP196,43.70543660052935
EMP197,52.140604040767926
EMP198,53.710155988762104
EMP199,58.00154687238606
EMP200,52.11443768937731
